"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Keith McCord","1981","1981","G","6-7","210","June 22 1957","Alabama UAB"
"Tim McCormick","1985","1992","C","6-11","240","March 10 1962","Michigan"
"Jelani McCoy","1999","2008","C","6-10","245","December 6 1977","UCLA"
"Paul McCracken","1973","1977","G","6-4","180","September 11 1950","Cal State Northridge"
"Chris McCray","2007","2007","G","6-5","192","May 27 1984","Maryland"
"Rodney McCray","1984","1993","F-G","6-7","220","August 29 1961","Louisville"
"Scooter McCray","1984","1987","F-G","6-9","215","February 8 1960","Louisville"
"Erik McCree","2018","2018","F","6-7","219","December 20 1993","Louisiana Tech"
"Chris McCullough","2016","2018","F","6-11","200","February 5 1995","Syracuse"
"John McCullough","1982","1982","G","6-4","190","October 5 1956","Oklahoma"
"Clint McDaniel","1996","1996","G","6-4","180","February 26 1972","Arkansas"
"Xavier McDaniel","1986","1998","F","6-7","205","June 4 1963","Wichita State"
"Jaden McDaniels","2021","2022","F","6-9","185","September 29 2000","Washington"
"Jalen McDaniels","2020","2022","F","6-9","205","January 31 1998","San Diego State"
"Jim McDaniels","1972","1978","C-F","6-11","228","April 2 1948","Western Kentucky"
"K.J. McDaniels","2015","2017","G-F","6-6","205","February 9 1993","Clemson"
"Doug McDermott","2015","2022","F","6-7","225","January 3 1992","Creighton"
"Sean McDermott","2021","2021","F","6-6","195","November 3 1996","Butler"
"Ben McDonald","1986","1989","F","6-8","210","July 20 1962","University of California Irvine"
"Glenn McDonald","1975","1977","F-G","6-6","190","March 18 1952","Cal State Long Beach"
"Michael McDonald","1998","1998","C","6-10","232","February 13 1969","Utah Valley New Orleans"
"Roderick McDonald","1971","1973","F","6-6","205","April 9 1945","Whitworth"
"Hank McDowell","1982","1987","F-C","6-9","215","November 13 1959","Memphis"
"Antonio McDyess","1996","2011","F-C","6-9","220","September 7 1974","Alabama"
"Jim McElroy","1976","1982","G","6-3","190","October 4 1953","Central Michigan University"
"Patrick McFarland","1974","1976","F-G","6-5","185","December 7 1951","Saint Joseph's"
"Ivan McFarlin","2007","2007","F","6-8","240","April 26 1982","Oklahoma State"
"Mel McGaha","1949","1949","G","6-1","190","September 26 1926","Arkansas"
"Mitch McGary","2015","2016","F-C","6-10","255","June 6 1992","Michigan"
"JaVale McGee","2009","2022","C","7-0","270","January 19 1988","Nevada"
"Mike McGee","1982","1990","G-F","6-5","190","July 29 1959","Michigan"
"Bill McGill","1963","1970","C-F","6-9","225","September 16 1939","Utah"
"George McGinnis*","1972","1982","F-C","6-8","235","August 12 1950","Indiana"
"Jon McGlocklin","1966","1976","G-F","6-5","205","June 10 1943","Indiana"
"Tracy McGrady*","1998","2012","F-G","6-8","210","May 24 1979",""
"Gil McGregor","1972","1972","F","6-8","240","June 14 1949","Wake Forest"
"Cameron McGriff","2022","2022","F","6-7","230","September 30 1997","Oklahoma State"
"Elton McGriff","1968","1969","C","6-9","225","August 21 1942","Creighton"
"Rodney McGruder","2017","2022","G","6-4","205","July 29 1991","Kansas State"
"Alfred McGuire*","1952","1955","G-F","6-2","180","September 7 1928","St. John's"
"Allie McGuire","1974","1974","G","6-3","175","July 10 1951","Marquette"
"Dick McGuire*","1950","1960","G","6-0","180","January 25 1926","St. John's"
"Dominic McGuire","2008","2013","F","6-9","220","October 20 1985","California Fresno State"
"Kevin McHale*","1981","1993","F-C","6-10","210","December 19 1957","Minnesota"
"Maurice McHartley","1968","1970","G-F","6-3","185","August 1 1942","North Carolina A&T"
"Jim McIlvaine","1995","2001","C","7-1","240","July 30 1972","Marquette"
"Jeff McInnis","1997","2008","G","6-4","190","October 22 1974","UNC"
"Kenny McIntosh","1972","1975","F","6-7","225","January 21 1949","Eastern Michigan"
"Bob McIntyre","1968","1970","F","6-6","215","January 23 1944","St. John's"
"Jerry McKee","1970","1970","G","6-3","190","August 4 1946","Ohio University"
"Kevin McKenna","1982","1988","G-F","6-5","195","January 8 1959","Creighton"
"Forrest McKenzie","1987","1987","F","6-7","200","February 16 1963","Loyola Marymount"
"Stan McKenzie","1968","1974","F-G","6-5","195","October 6 1944","NYU"
"Derrick McKey","1988","2002","F-C","6-9","205","October 10 1966","Alabama"
"Aaron McKie","1995","2007","G","6-5","209","October 2 1972","Temple"
"Billy McKinney","1979","1986","G","6-0","160","June 5 1955","Northwestern"
"Bones McKinney","1947","1952","F-C","6-6","185","January 1 1919","UNC"
"Carlton McKinney","1990","1992","G","6-4","190","October 21 1964","Tulsa SMU"
"Trey McKinney-Jones","2018","2018","G","6-5","214","August 27 1990","Missouri-Kansas City Miami (FL)"
"Alfonzo McKinnie","2018","2022","F","6-7","215","September 17 1992","Green Bay"
"JaQuori McLaughlin","2022","2022","G","6-4","190","January 29 1998","Oregon State UC Santa Barbara"
"Jordan McLaughlin","2020","2022","G","5-11","185","April 9 1996","USC"
"Ben McLemore","2014","2022","G","6-3","195","February 11 1993","Kansas"
"McCoy McLemore","1965","1972","F-C","6-7","230","April 3 1942","Drake University"
"George McLeod","1953","1953","F","6-5","200","January 3 1931","TCU"
"Keith McLeod","2004","2007","G","6-2","188","November 5 1979","Bowling Green"
"Roshown McLeod","1999","2001","F","6-8","221","November 17 1975","St. John's Duke"
"Jack McMahon","1953","1960","G","6-1","185","December 3 1928","St. John's"
"Nate McMillan","1987","1998","G-F","6-5","195","August 3 1964","NC State"
"Tom McMillen","1976","1986","F-C","6-11","215","May 26 1952","Maryland"
"Jim McMillian","1971","1979","F","6-5","215","March 11 1948","Columbia University"
"Shellie McMillon","1959","1962","F","6-5","205","March 11 1936","Bradley"
"Mal McMullen","1950","1951","F-C","6-5","210","August 23 1927","Xavier"
"Chet McNabb","1948","1948","F","6-2","200","September 19 1920","Arizona State"
"Mark McNamara","1983","1991","C-F","6-11","235","June 8 1959","Santa Clara California"
"Joe McNamee","1951","1952","F-C","6-6","210","September 24 1926","San Francisco"
"Jerel McNeal","2015","2015","G","6-3","200","June 1 1987","Marquette"
"Chris McNealy","1986","1988","F","6-7","210","July 15 1961","San Jose State"
"Bob McNeill","1961","1962","G","6-1","170","October 22 1938","Saint Joseph's"
"Larry McNeill","1974","1979","F-C","6-9","195","January 31 1951","Marquette"
"Carl McNulty","1955","1955","G","6-3","185","February 14 1930","Purdue"
"Paul McPherson","2001","2001","G","6-4","210","July 3 1978","DePaul"
"Roy McPipe","1975","1975","G","6-3","205","May 5 1950","Montana State University Billings"
"Cozell McQueen","1987","1987","F","6-11","235","January 18 1962","NC State"
"Jordan McRae","2016","2020","G","6-5","179","March 28 1991","Tennessee"
"Thales McReynolds","1966","1966","G","6-3","185","June 8 1943","Miles College"
"Josh McRoberts","2008","2018","F","6-10","240","February 28 1987","Duke"
"Eric McWilliams","1973","1973","F","6-8","200","April 18 1950","Cal State Long Beach"
"George Mearns","1947","1948","F","6-3","175","April 18 1922","Rhode Island"
"Stanislav Medvedenko","2001","2007","F","6-10","250","April 4 1979",""
"Darnell Mee","1994","1995","G","6-5","175","February 11 1971","Western Kentucky"
"Jodie Meeks","2010","2019","G","6-4","210","August 21 1987","Kentucky"
"Cliff Meely","1972","1976","F-C","6-8","215","July 10 1947","Colorado"
"Scott Meents","1990","1991","F","6-10","225","January 4 1964","Illinois"
"Dick Mehen","1950","1952","F-C","6-5","195","May 20 1922","Tennessee"
"Monk Meineke","1953","1958","F-C","6-7","208","October 30 1930","Dayton"
"Carl Meinhold","1948","1949","G-F","6-2","185","March 29 1926","Long Island University"
"Salah Mejri","2016","2019","C","7-2","235","June 15 1986",""
"Gal Mekel","2014","2015","G","6-3","191","March 4 1988","Wichita State"
"Bill Melchionni","1967","1976","G","6-1","165","October 19 1944","Villanova"
"Gary Melchionni","1974","1975","G","6-2","185","January 19 1951","Duke"
"Nicolò Melli","2020","2021","F","6-9","236","January 26 1991",""
"Fab Melo","2013","2013","C","7-0","255","June 20 1990","Syracuse"
"De'Anthony Melton","2019","2022","G","6-2","200","May 28 1998","USC"
"Ed Melvin","1947","1947","G","5-9","170","February 13 1916","Duquesne"
"Dean Meminger","1972","1977","G","6-0","175","May 13 1948","Marquette"
"Chuck Mencel","1956","1957","G","6-0","168","April 21 1933","Minnesota"
"John Mengelt","1972","1981","G","6-2","195","October 16 1949","Auburn"
"Ken Menke","1950","1950","G","6-0","168","October 2 1922","Illinois"
"Pops Mensah-Bonsu","2007","2011","F","6-9","240","September 7 1983","George Washington"
"Dewitt Menyard","1968","1968","C","6-10","210","May 24 1944","Utah"
"Ron Mercer","1998","2005","G-F","6-7","210","May 18 1976","Kentucky"
"Joe Meriweather","1976","1985","C-F","6-10","215","October 26 1953","Southern Illinois"
"Porter Meriwether","1963","1963","G","6-2","180","March 16 1940","Tennessee State"
"Sam Merrill","2021","2022","G","6-4","205","May 15 1996","Utah State University"
"Tom Meschery","1962","1971","F","6-6","215","October 26 1938","Saint Mary's"
"Chimezie Metu","2019","2022","F","6-9","225","March 22 1997","USC"
"Bill Meyer","1968","1968","G","6-3","195","August 30 1943","Hiram College"
"Loren Meyer","1996","1999","C","6-10","257","December 30 1972","Iowa State"
"Dave Meyers","1976","1980","F-C","6-8","215","April 21 1953","UCLA"
"Stan Miasek","1947","1953","C-F","6-5","210","September 19 1923",""
"Larry Micheaux","1984","1985","F","6-9","220","March 24 1960","Houston"
"Jordan Mickey","2016","2018","F","6-8","235","July 9 1994","LSU"
"Khris Middleton","2013","2022","F-G","6-7","222","August 12 1991","Texas A&M"
"Red Mihalik","1947","1947","G","6-0","180","September 22 1916",""
"Chris Mihm","2001","2009","C","7-0","265","July 16 1979","Texas"
"Eric Mika","2020","2020","C","6-10","230","January 5 1995","BYU"
"Ed Mikan","1949","1954","C-F","6-8","230","October 20 1925","DePaul"
"George Mikan*","1949","1956","C","6-10","245","June 18 1924","DePaul"
"Larry Mikan","1971","1971","F","6-7","210","April 8 1948","Minnesota"
"Vern Mikkelsen*","1950","1959","F-C","6-7","230","October 21 1928","Hamline University"
"Al Miksis","1950","1950","C","6-7","210","February 2 1928","Western Illinois University"
"Aaron Miles","2006","2006","G","6-1","175","April 13 1983","Kansas"
"C.J. Miles","2006","2022","G-F","6-6","220","March 18 1987",""
"Darius Miles","2001","2009","F","6-9","210","October 9 1981",""
"Eddie Miles","1964","1972","G-F","6-4","195","July 5 1940","Seattle University"
"Marko Mili?","1998","1999","G-F","6-6","235","May 7 1977",""
"Darko Mili?i?","2004","2013","F-C","7-0","250","June 20 1985",""
"Nat Militzok","1947","1947","F","6-3","195","May 3 1923","Cornell"
"Andre Miller","2000","2016","G","6-3","200","March 19 1976","Utah"
"Anthony Miller","1995","2005","F","6-9","225","October 22 1971","Michigan State"
"Bill Miller","1949","1949","F","6-3","190","November 24 1924","UNC"
"Bob Miller","1984","1984","F","6-10","230","July 9 1956","Cincinnati"
"Brad Miller","1999","2012","C","6-11","244","April 12 1976","Purdue"
"Darius Miller","2013","2021","F","6-6","225","March 21 1990","Kentucky"
"Dick Miller","1981","1981","F","6-6","215","April 26 1958","Toledo"
"Eddie Miller","1953","1954","C-F","6-8","225","June 18 1931","Syracuse"
"Harry Miller","1947","1947","C-F","6-4","230","July 28 1923","UNC"
"Jay Miller","1968","1971","F","6-5","205","July 19 1943","Notre Dame"
"Larry Miller","1969","1975","G-F","6-4","190","April 4 1946","UNC"
"Malcolm Miller","2018","2020","F","6-7","210","March 6 1993","Holy Cross"
"Mike Miller","2001","2017","F-G","6-8","218","February 19 1980","Florida"
"Oliver Miller","1993","2004","C","6-9","280","April 6 1970","Arkansas"
"Quincy Miller","2013","2015","F","6-9","210","November 18 1992","Baylor"
"Reggie Miller*","1988","2005","G-F","6-7","185","August 24 1965","UCLA"
"Walt Miller","1947","1947","F","6-2","190","July 20 1915","Duquesne"
"Chris Mills","1994","2003","F","6-6","215","January 25 1970","Kentucky Arizona"
"John Mills","1947","1947","C-F","6-8","203","September 7 1919","Western Kentucky"
"Patty Mills","2010","2022","G","6-1","180","August 11 1988","Saint Mary's"
"Terry Mills","1991","2001","F","6-10","230","December 21 1967","Michigan"
"Elijah Millsap","2015","2017","G-F","6-6","225","August 12 1987","Louisiana UAB"
"Paul Millsap","2007","2022","F","6-7","257","February 10 1985","Louisiana Tech"
"Shake Milton","2019","2022","G","6-5","205","September 26 1996","SMU"
"Harold Miner","1993","1996","G","6-5","210","May 5 1971","USC"
"Yao Ming*","2003","2011","C","7-6","310","September 12 1980",""
"Dirk Minniefield","1986","1988","G","6-3","180","January 17 1961","Kentucky"
"Dave Minor","1952","1953","G-F","6-2","185","February 23 1922","UCLA"
"Greg Minor","1995","1999","G-F","6-6","210","September 18 1971","Louisville"
"Mark Minor","1973","1973","F","6-6","215","May 14 1950","Ohio State"
"Nikola Miroti?","2015","2019","F","6-10","250","February 11 1991",""
"Wat Misaka","1948","1948","G","5-7","150","December 21 1923","Utah"
"Jason Miskiri","2000","2000","G","6-2","175","August 19 1975","George Mason"
"Davion Mitchell","2022","2022","G","6-2","205","September 5 1998","Auburn Baylor"
"Donovan Mitchell","2018","2022","G","6-1","215","September 7 1996","Louisville"
"Leland Mitchell","1968","1968","G","6-4","210","February 22 1941","Mississippi State"
"Mike Mitchell","1979","1988","F","6-7","215","January 1 1956","Auburn"
"Murray Mitchell","1950","1950","C","6-6","","March 19 1923","Sam Houston State University"
"Sam Mitchell","1990","2002","F","6-6","210","September 2 1963","Mercer University"
"Todd Mitchell","1989","1989","F","6-7","205","July 26 1966","Purdue"
"Tony Mitchell","2014","2014","F","6-6","216","August 7 1989","Alabama"
"Tony Mitchell","2014","2014","F","6-8","235","April 7 1992","University of North Texas"
"Naz Mitrou-Long","2018","2020","G","6-3","218","August 3 1993","Iowa State"
"Steve Mix","1970","1983","F","6-7","215","December 30 1947","Toledo"
"Bill Mlkvy","1953","1953","F","6-4","190","January 19 1931","Temple"
"Cuttino Mobley","1999","2009","G","6-4","190","September 1 1975","Rhode Island"
"Eric Mobley","1995","1997","C","6-11","235","February 1 1970","Pitt"
"Evan Mobley","2022","2022","F-C","7-0","215","June 18 2001","USC"
"Doug Moe","1968","1972","F-G","6-5","215","September 21 1938","UNC"
"Larry Moffett","1978","1978","F","6-8","210","November 5 1954","UNLV"
"Leo Mogus","1947","1951","F-C","6-4","190","April 13 1921","Youngstown State University"
"Nazr Mohammed","1999","2016","C","6-10","221","September 5 1977","Kentucky"
"Jérôme Moïso","2001","2005","F-C","6-10","235","June 15 1978","UCLA"
"Paul Mokeski","1980","1991","C-F","7-0","250","January 3 1957","Kansas"
"Adam Mokoka","2020","2021","G","6-4","190","July 18 1998",""
"Jack Molinas","1954","1954","F","6-6","200","October 31 1931","Columbia University"
"Wayne Molis","1967","1968","F","6-8","230","April 17 1943","Chicago State Lewis (IL)"
"Sidney Moncrief*","1980","1991","G","6-3","180","September 21 1957","Arkansas"
"Eric Money","1975","1980","G","6-0","170","February 6 1955","Arizona"
"Sergei Monia","2006","2006","F","6-8","220","April 15 1983",""
"Malik Monk","2018","2022","G","6-3","200","February 4 1998","Kentucky"
"Earl Monroe*","1968","1980","G","6-3","185","November 21 1944","Winston-Salem State"
"Greg Monroe","2011","2022","C-F","6-11","265","June 4 1990","Georgetown"
"Rodney Monroe","1992","1992","G","6-3","185","April 16 1968","NC State"
"Luis Montero","2016","2018","G","6-7","185","April 6 1993","Westchester CC"
"Howie Montgomery","1963","1963","F","6-5","220","August 22 1940","University of Texas Rio Grande Valley"
"Eric Montross","1995","2002","C","7-0","270","September 23 1971","UNC"
"Moses Moody","2022","2022","G","6-6","205","May 31 2002","Arkansas"
"Jamario Moon","2008","2012","F","6-8","205","June 13 1980","Meridian Community College"
"Xavier Moon","2022","2022","G","6-2","165","January 2 1995","Northwest Florida State College Morehead State University"
"Jim Mooney","1953","1953","F","6-5","215","July 8 1930","Villanova"
"Matt Mooney","2020","2022","G","6-3","199","February 7 1997","Air Force South Dakota Texas Tech"
"Andre Moore","1988","1988","F","6-9","215","July 2 1964","Loyola Chicago"
"Ben Moore","2018","2018","F","6-8","220","May 13 1995","SMU"
"E'Twaun Moore","2012","2021","G-F","6-3","191","February 25 1989","Purdue"
"Gene Moore","1969","1975","C-F","6-9","225","July 29 1945","Saint Louis"
"Jackie Moore","1955","1957","F","6-5","180","September 24 1932","La Salle"
"Johnny Moore","1981","1990","G","6-1","175","March 3 1958","Texas"
"Larry Moore","1968","1968","F","6-7","215","July 10 1942","Florida State"
"Lowes Moore","1981","1983","G","6-1","170","May 5 1957","West Virginia"
"Mikki Moore","1999","2012","C-F","6-11","225","November 4 1975","Nebraska"
"Otto Moore","1969","1977","C-F","6-11","205","August 27 1946","University of Texas Rio Grande Valley"
"Richie Moore","1968","1968","G","6-2","190","","Villanova Hiram Scott College"
"Ron Moore","1988","1988","C","7-0","260","January 16 1962","Salem University West Virginia State University"
"Tracy Moore","1992","1997","G-F","6-4","200","December 28 1965","Tulsa"
"Ja Morant","2020","2022","G","6-3","174","August 10 1999","Murray State"
"Eric Moreland","2015","2019","F-C","6-10","238","December 24 1991","Oregon State"
"Jackie Moreland","1961","1970","F-G","6-7","215","March 11 1938","Louisiana Tech"
"Guy Morgan","1983","1983","G","6-8","205","August 23 1960","Wake Forest"
"Juwan Morgan","2020","2022","F","6-7","232","April 17 1997","Indiana"
"Rex Morgan","1971","1972","G","6-5","190","October 27 1948","Jacksonville University"
"Elmore Morgenthaler","1947","1949","C","6-9","230","August 3 1922","New Mexico Tech Boston College"
"Darren Morningstar","1994","1994","C","6-10","235","April 22 1969","United States Naval Academy Pitt"
"Chris Morris","1989","1999","F","6-8","210","January 20 1966","Auburn"
"Darius Morris","2012","2015","G","6-4","190","January 3 1991","Michigan"
"Isaiah Morris","1993","1993","F","6-8","229","April 2 1969","Arkansas"
"Jaylen Morris","2018","2022","G","6-5","185","September 19 1995","Molloy"
"Marcus Morris","2012","2022","F","6-8","218","September 2 1989","Kansas"
"Markieff Morris","2012","2022","F","6-9","245","September 2 1989","Kansas"
"Max Morris","1950","1950","F-C","6-2","195","March 14 1925","Northwestern"
"Monte Morris","2018","2022","G","6-2","183","June 27 1995","Iowa State"
"Randolph Morris","2007","2010","C","6-10","266","January 2 1986","Kentucky"
"Terence Morris","2002","2006","F","6-9","221","January 11 1979","Maryland"
"Adam Morrison","2007","2010","F","6-8","205","July 19 1984","Gonzaga"
"John Morrison","1968","1968","G","6-2","190","May 2 1945","Canisius"
"Mike Morrison","1990","1990","G","6-4","195","August 16 1967","Loyola (MD)"
"Red Morrison","1955","1958","F-C","6-8","220","April 26 1932","Idaho"
"Anthony Morrow","2009","2017","G","6-5","210","September 27 1985","Georgia Tech"
"Dwayne Morton","1995","1995","F","6-7","195","August 8 1971","Louisville"
"John Morton","1990","1992","G","6-3","180","May 18 1967","Seton Hall"
"Richard Morton","1989","1989","G","6-3","190","February 2 1966","Cal State Fullerton"
"Glenn Mosley","1978","1979","F","6-8","195","December 26 1955","Seton Hall"
"Perry Moss","1986","1987","G","6-2","185","November 11 1958","Northeastern University"
"Lawrence Moten","1996","1998","G","6-5","185","March 25 1972","Syracuse"
"Donatas Motiej?nas","2013","2019","F-C","7-0","222","September 20 1990",""
"Johnathan Motley","2018","2020","F","6-8","230","May 4 1995","Baylor"
"Hanno Möttölä","2001","2002","C","6-11","247","September 9 1976","Utah"
"Arnett Moultrie","2013","2014","F","6-11","249","November 18 1990","Texas-El Paso Mississippi State"
"Rick Mount","1971","1975","G","6-3","175","January 5 1947","Purdue"
"Alonzo Mourning*","1993","2008","C","6-10","240","February 8 1970","Georgetown"
"Timofey Mozgov","2011","2018","C","7-1","275","July 16 1986",""
"Chuck Mrazovich","1951","1951","F","6-5","185","February 26 1924","Eastern Kentucky University"
"Emmanuel Mudiay","2016","2022","G","6-3","200","March 5 1996",""
"Erwin Mueller","1967","1974","C-F","6-8","230","March 12 1944","San Francisco"
"Shabazz Muhammad","2014","2018","F-G","6-6","223","November 13 1992","UCLA"
"Mychal Mulder","2020","2022","G-F","6-3","184","June 12 1994","Vincennes University Kentucky"
"Joe Mullaney","1950","1950","G","6-0","165","November 17 1924","Holy Cross"
"Bob Mullens","1947","1947","G","6-1","175","November 1 1922","Fordham"
"Byron Mullens","2010","2014","C","7-0","275","February 14 1989","Ohio State"
"Chris Mullin*","1986","2001","F-G","6-6","200","July 30 1963","St. John's"
"Jeff Mullins","1965","1976","G-F","6-4","190","March 18 1942","Duke"
"Todd Mundt","1996","1996","C","7-0","250","May 17 1970","Memphis Delta State University"
"Xavier Munford","2016","2018","G","6-2","180","June 1 1992","Rhode Island"
"Chris Munk","1991","1991","F","6-9","225","August 5 1967","USC"
"George Munroe","1947","1948","G","5-11","170","January 5 1922","Dartmouth College"
"Eric Murdock","1992","2000","G","6-1","190","June 14 1968","Providence"
"Gheorghe Mure?an","1994","2000","C","7-7","303","February 14 1971",""
"Ade Murkey","2022","2022","G","6-5","200","January 29 1998","Denver"
"Allen Murphy","1976","1977","G","6-5","190","July 15 1952","Louisville"
"Calvin Murphy*","1971","1983","G","5-9","165","May 9 1948","Niagara University"
"Dick Murphy","1947","1947","G","6-1","175","March 10 1921","Manhattan College"
"Erik Murphy","2014","2014","F","6-10","230","October 26 1990","Florida"
"Jay Murphy","1985","1988","F","6-9","220","June 26 1962","Boston College"
"John Murphy","1947","1947","F","6-2","175","September 13 1924",""
"Kevin Murphy","2013","2013","G","6-5","185","March 6 1990","Tennessee Technological University"
"Ronnie Murphy","1988","1988","F","6-5","225","July 29 1964","Jacksonville University"
"Tod Murphy","1988","1994","C-F","6-9","220","December 24 1963","University of California Irvine"
"Trey Murphy III","2022","2022","F","6-9","206","June 18 2000","Rice University Virginia"
"Troy Murphy","2002","2013","F-C","6-11","245","May 2 1980","Notre Dame"
"Dejounte Murray","2017","2022","G","6-4","180","September 19 1996","Washington"
"Jamal Murray","2017","2021","G","6-3","215","February 23 1997","Kentucky"
"Ken Murray","1951","1955","G-F","6-2","190","April 20 1928","St. Bonaventure"
"Lamond Murray","1995","2006","F","6-7","236","April 20 1973","California"
"Ronald Murray","2003","2010","G","6-4","190","July 29 1979","Meridian Community College Shaw"
"Tracy Murray","1993","2004","F","6-7","225","July 25 1971","UCLA"
"Willie Murrell","1968","1970","F","6-6","225","September 13 1941","Kansas State"
"Dorie Murrey","1967","1972","F-C","6-8","215","September 7 1943","Detroit Mercy"
"Toure' Murry","2014","2015","G-F","6-5","195","November 8 1989","Wichita State"
"Džanan Musa","2019","2020","G-F","6-9","217","May 8 1999",""
"Mike Muscala","2014","2022","F-C","6-10","240","July 1 1991","Bucknell"
"Angelo Musi","1947","1949","G","5-9","145","July 25 1918","Temple"
"Jerrod Mustaf","1991","1994","F-C","6-10","238","October 28 1969","Maryland"
"Dikembe Mutombo*","1992","2009","C","7-2","245","June 25 1966","Georgetown"
"Martin Müürsepp","1997","1998","F","6-9","235","September 26 1974",""
"Pete Myers","1987","1998","G-F","6-6","180","September 15 1963","Little Rock"
"Svi Mykhailiuk","2019","2022","G-F","6-7","205","June 10 1997","Kansas"
"Hamady N'Diaye","2011","2014","C","7-0","235","January 12 1987","Rutgers University"
"Makhtar N'Diaye","1999","1999","F","6-8","245","December 12 1973","Michigan UNC"
"Mamadou N'Diaye","2001","2005","C","7-0","255","June 16 1975","Auburn"
"Boniface N'Dong","2006","2006","C","7-0","198","March 9 1977",""
"Bob Naber","1953","1953","F","6-3","185","September 3 1929","Louisville"
"Boris Nachamkin","1955","1955","F","6-6","210","December 6 1933","NYU"
"Boštjan Nachbar","2003","2008","F","6-9","221","July 3 1980",""
"Abdel Nader","2018","2022","F","6-5","225","September 25 1993","Northern Illinois Iowa State"
"Jerry Nagel","1950","1950","G","6-0","190","May 18 1928","Loyola Chicago"
"Fritz Nagy","1949","1949","G-F","6-2","185","January 3 1924","University of Akron"
"Lee Nailon","2001","2006","F","6-9","238","February 22 1975","Butler County Community College TCU"
"Eduardo Nájera","2001","2012","F","6-8","240","July 11 1976","Oklahoma"
"Larry Nance","1982","1994","F-C","6-10","205","February 12 1959","Clemson"
"Larry Nance Jr.","2016","2022","F-C","6-7","245","January 1 1993","Wyoming"
"Shabazz Napier","2015","2020","G","6-0","175","July 14 1991","UConn"
"Paul Napolitano","1949","1949","F-G","6-2","185","February 3 1923","San Francisco"
"Bob Nash","1973","1979","F","6-8","195","August 24 1950","Hawaii"
"Cotton Nash","1965","1968","F","6-5","215","July 24 1942","Kentucky"
"Steve Nash*","1997","2014","G","6-3","195","February 7 1974","Santa Clara"
"Swen Nater","1974","1984","C","6-11","240","January 14 1950","UCLA"
"Howard Nathan","1996","1996","G","5-11","175","January 21 1972","DePaul Louisiana-Monroe"
"Calvin Natt","1980","1990","F","6-6","220","January 8 1957","Louisiana-Monroe"
"Kenny Natt","1981","1985","G","6-3","185","October 5 1958","Louisiana-Monroe"
"Willie Naulls","1957","1966","F-C","6-6","225","October 7 1934","UCLA"
"Juan Carlos Navarro","2008","2008","G","6-3","170","June 13 1980",""
"Maurice Ndour","2017","2017","F","6-9","200","June 18 1992","Ohio University"
"Craig Neal","1989","1991","G","6-5","165","February 16 1964","Georgia Tech"
"Gary Neal","2011","2017","G","6-4","210","October 3 1984","La Salle Towson University"
"Jim Neal","1954","1955","C","6-11","235","May 21 1930","Wofford College"
"Lloyd Neal","1973","1979","C-F","6-7","225","December 10 1950","Tennessee State"
"Ed Nealy","1983","1993","F","6-7","238","February 19 1960","Kansas State"
"Nemanja Nedovi?","2014","2014","G","6-3","192","June 16 1991",""
"Al Negratti","1947","1947","F-C","6-3","200","June 12 1921","Seton Hall"
"Barry Nelson","1972","1972","C","6-10","230","September 19 1949","Duquesne"
"DeMarcus Nelson","2009","2009","G","6-4","200","November 2 1985","Duke"
"Don Nelson*","1963","1976","F","6-6","210","May 15 1940","Iowa"
"Jameer Nelson","2005","2018","G","6-0","190","February 9 1982","Saint Joseph's"
"Louie Nelson","1974","1978","G","6-3","190","May 28 1951","Washington"
"Ron Nelson","1971","1971","G","6-2","175","October 7 1946","New Mexico"
"RJ Nembhard Jr.","2022","2022","G","6-5","200","March 22 1999","TCU"
"Ruben Nembhard","1997","1997","G","6-3","208","February 20 1972","Weber State"
"Dick Nemelka","1971","1971","G","6-0","175","October 1 1943","BYU"
"Tyrone Nesby","1999","2002","F","6-6","225","January 31 1976","Vincennes University UNLV"
"Aaron Nesmith","2021","2022","G-F","6-5","215","October 16 1999","Vanderbilt"
"Martin Nessley","1988","1988","C","7-2","260","February 16 1965","Duke"
"Rasho Nesterovi?","1999","2010","C","7-0","248","May 30 1976",""
"Raul Neto","2016","2022","G","6-1","180","May 19 1992",""
"Bob Netolicky","1968","1976","F-C","6-9","220","August 2 1942","Drake University"
"Johnny Neumann","1972","1978","G-F","6-6","200","September 11 1951","Ole Miss"
"Paul Neumann","1962","1967","G","6-1","175","January 30 1938","Stanford"
"Chuck Nevitt","1983","1994","C","7-5","217","June 13 1959","NC State"
"Melvin Newbern","1993","1993","G","6-4","200","June 11 1967","Minnesota"
"Ivano Newbill","1995","1998","F","6-9","245","December 12 1970","Georgia Tech"
"Ira Newble","2001","2008","F","6-7","220","January 20 1975","Miami University"
"Mike Newlin","1972","1982","G-F","6-4","200","January 2 1949","Utah"
"Johnny Newman","1987","2002","F-G","6-7","190","November 28 1963","Richmond"
"Malik Newman","2020","2022","G","6-3","190","February 21 1997","Mississippi State Kansas"
"Dave Newmark","1969","1971","C","7-0","240","September 11 1946","Columbia University"
"Bill Newton","1973","1974","C","6-9","220","December 22 1950","LSU"
"Georges Niang","2017","2022","F","6-7","230","June 17 1993","Iowa State"
"Demetris Nichols","2008","2009","F","6-8","216","September 4 1984","Syracuse"
"Jack Nichols","1949","1958","C-F","6-7","222","April 9 1926","Washington"
"Andrew Nicholson","2013","2017","F","6-9","250","December 8 1989","St. Bonaventure"
