Name,Developer,Producer,Genre,Operating System,Date Released
Grand Theft Auto: Vice City,Rockstar North,Rockstar Games,"Open world, action-adventure","Microsoft Windows, macOS","May 12, 2003"
Grand Theft Auto V,Rockstar North,Rockstar Games,"Open world, action-adventure",Microsoft Windows,"April 14, 2015"
Grid 2,Codemasters,Codemasters,"Racing, arcade",Microsoft Windows,"May 27, 2013"
Ground Control,Massive Entertainment,Sierra On-Line,Real-time tactics,Microsoft Windows,"June 1, 2000"
Ground Control II: Operation Exodus,Massive Entertainment,Vivendi Universal,Real-time tactics,Microsoft Windows,"June 18, 2004"
Growtopia,"Ubisoft Abu Dhabi (2017–present), Robinson Technologies (2013-2017), Hamumu Software (2013-2017)","Ubisoft (2017–present), Robinson Technologies (2013-2017)",MMO,"Microsoft Windows, macOS","November 30, 2012"
GTR Evolution,Sinbin Studios,"Atari, Viva Media",Racing,Microsoft Windows,"August 1, 2008"
Guild Wars,ArenaNet,NCSoft,CORPG,Microsoft Windows,"April 26, 2005"
Guild Wars 2,ArenaNet,NCSoft,MMORPG,"Microsoft Windows, macOS","August 28, 2012"
Guild Wars Factions,ArenaNet,NCSoft,CORPG,Microsoft Windows,"April 28, 2006"
Guild Wars Nightfall,ArenaNet,NCSoft,CORPG,Microsoft Windows,"October 27, 2006"
Guitar Hero III: Legends of Rock,Neversoft,Aspyr Media,"Music, Rhythm","Microsoft Windows, Mac OS X","November 13, 2007"
Gunpoint,Suspicious Developments,Suspicious Developments,"Action, adventure, puzzle platformer","Microsoft Windows, Linux, macOS","June 3, 2013"
Half-Life,"Valve, Gearbox Software",Sierra Entertainment,First-person shooter,"Microsoft Windows, Linux, macOS","November 19, 1998"
Half-Life 2,Valve,"Valve, Sierra Entertainment",First-person shooter,"Microsoft Windows, Linux, macOS","November 16, 2004"
Half-Life: Blue Shift,"Valve, Gearbox Software",Sierra Studios,First-person shooter,"Microsoft Windows, Linux, macOS","June 12, 2001"
Half-Life Deathmatch: Source,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","May 1, 2006"
Half-Life: Opposing Force,"Valve, Gearbox Software",Sierra Studios,First-person shooter,"Microsoft Windows, Linux, macOS","November 10, 1999"
Half-Life: Source,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","June 1, 2004"
Half-Life 2: Deathmatch,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","November 30, 2004"
Half-Life 2: Episode One,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","June 1, 2006"
Half-Life 2: Episode Two,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","October 10, 2007"
Half-Life 2: Lost Coast,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","October 27, 2005"
Half-Life: Alyx,Valve,Valve,"First-person shooter, VR game","Microsoft Windows, Linux","March 23, 2020"
Halo: Combat Evolved,"Bungie, Gearbox Software, Westlake Interactive","Microsoft Game Studios, MacSoft",First-person shooter,"Microsoft Windows, macOS","September 30, 2003"
Halo 2,"Bungie, Microsoft Game Studios, Pi Studios",Microsoft Game Studios,First-person shooter,Microsoft Windows,"May 17, 2007"
Hard Truck Apocalypse,Targem Games,Buka Entertainment,Vehicular combat,Microsoft Windows,"June 19, 2006"
Harvester,DigiFX Interactive,"Merit Studios, Virgin Interactive, Night Dive Studios",Adventure,"DOS, Microsoft Windows, Linux","September 25, 1996"
A Hat in Time,Gears for Breakfast,Humble Bundle,"Adventure, platforming","Microsoft Windows, macOS",2017
Hatoful Boyfriend: A School of Hope and White Wings,"PigeoNaton, Mediatonic","MIST[PSI]PRESS, Devolver Digital","Visual novel, dating simulation, otome game, nakige","Microsoft Windows, Linux, macOS","August 24, 2014"
Hearthstone,Blizzard Entertainment,Blizzard Entertainment,Digital collectible card game,"Microsoft Windows, macOS","March 11, 2014"
Hearts of Iron,Paradox Development Studios,Strategy First,Grand strategy,"Microsoft Windows, macOS","November 24, 2002"
Hearts of Iron II,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, macOS","January 4, 2005"
Hearts of Iron III,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, macOS","August 7, 2009"
Hello Neighbor,Dynamic Pixels,tinyBuild,"Stealth, survival horror","Microsoft Windows, macOS","December 8, 2017"
Heroes of the Lance,U.S. Gold,"Strategic Simulations, Inc.","RPG, fantasy","MS-DOS, Amiga, Amstrad CPC, Atari ST, Commodore 64, FM Towns, ZX Spectrum","November 1, 1988"
Heroes of Might and Magic: A Strategic Quest,New World Computing,New World Computing,Turn-based strategy,"Microsoft Windows, DOS, Mac OS","August 31, 1995"
Heroes of Might and Magic II,New World Computing,The 3DO Company,Turn-based strategy,"Microsoft Windows, DOS, Mac OS, RISC OS","October 1, 1996"
Heroes of Might and Magic III,New World Computing,The 3DO Company,Turn-based strategy,"Microsoft Windows, Linux, Mac OS","February 28, 1999"
Heroes of Newerth,S2 Games,S2 Games,MOBA,"Microsoft Windows, Linux, macOS","May 12, 2010"
Heroes of the Storm,Blizzard Entertainment,Blizzard Entertainment,MOBA,"Microsoft Windows, macOS","June 2, 2015"
Hitman: Absolution,"IO Interactive, Feral Interactive","Eidos Interactive, Feral Interactive","Action-adventure, stealth","Microsoft Windows, macOS","November 19, 2012"
Hitman: Blood Money,IO Interactive,Eidos Interactive,"Action-adventure, stealth",Microsoft Windows,"May 30, 2006"
Hitman: Codename 47,IO Interactive,Eidos Interactive,"Action-adventure, stealth",Microsoft Windows,"November 19, 2000"
Hitman: Contracts,IO Interactive,Eidos Interactive,"Action-adventure, stealth",Microsoft Windows,"April 20, 2004"
Hitman 2: Silent Assassin,IO Interactive,Eidos Interactive,"Action-adventure, stealth",Microsoft Windows,"October 1, 2002"
Hitman,"IO Interactive, Feral Interactive",Square Enix,"Action-adventure, stealth","Microsoft Windows, macOS","March 11, 2016"
Hitman 2,"IO Interactive, Feral Interactive",Warner Bros. Interactive Entertainment,"Action-adventure, stealth","Microsoft Windows, macOS","November 9, 2018"
Hitman III,"IO Interactive, Feral Interactive",Unknown,"Action-adventure, stealth","Microsoft Windows, macOS",January 2021
Hogs of War,Infogrames Studios,Infogrames Europe,"Turn-based tactics, artillery",Microsoft Windows,"November 3, 2000"
Hollow Knight,Team Cherry,Team Cherry,"Action adventure, Metroidvania","Microsoft Windows, macOS, Linux, Nintendo Switch, PlayStation 4, Xbox One","February 24, 2017"
Homeworld,Relic Entertainment,Sierra Entertainment,"Real-time strategy, real-time tactics, space simulation",Microsoft Windows,"September 28, 1999"
Homeworld: Cataclysm,Barking Dog Studios,Sierra Entertainment,Real-time strategy,Microsoft Windows,"June 30, 2000"
Homeworld 2,Relic Entertainment,Sierra Entertainment,Real-time strategy,"Microsoft Windows, macOS","September 16, 2003"
Homeworld: Deserts of Kharak,Blackbird Interactive,Gearbox Software,Real-time strategy,"Microsoft Windows, macOS","January 20, 2016"
Hotline Miami,Dennaton Games,Devolver Digital,"Action, top-down shooter","Microsoft Windows, Linux, macOS","October 23, 2012"
Hotline Miami 2: Wrong Number,Dennaton Games,Devolver Digital,"Action, top-down shooter","Microsoft Windows, Linux, macOS","March 10, 2015"
Hugo's House of Horrors,Gray Design Associates,Gray Design Associates,"Adventure, survival horror","Microsoft Windows, DOS",1990
I.G.I.-2: Covert Strike,Innerloop Studios,Codemasters,Stealth,Microsoft Windows,"March 3, 2003"
Icewind Dale,Black Isle Studios,Interplay Entertainment,RPG,"Microsoft Windows, macOS","June 29, 2000"
Icewind Dale II,Black Isle Studios,Interplay Entertainment,RPG,Microsoft Windows,"August 27, 2002"
Identity,"Asylum Entertainment, Inc.","Asylum Entertainment, Inc.",MMORPG,"Microsoft Windows, macOS","November 30, 2018"
Insurgency,New World Interactive,New World Interactive,First-person shooter,"Microsoft Windows, macOS, Linux","January 22, 2014"
Insurgency: Sandstorm,New World Interactive,Focus Home Interactive,First-person shooter,Microsoft Windows,"December 12, 2018"
Jill of the Jungle,Epic MegaGames,Epic MegaGames,Platform,DOS,June 1992
Jade Empire,"BioWare, LTI Gray Matter","2K Games, Valve",Action role-playing,"Microsoft Windows, macOS","February 26, 2007"
James Bond 007: Nightfire,"Eurocom, Gearbox Software, TransGaming Inc.","Electronic Arts, Aspyr",First-person shooter,"Microsoft Windows, macOS","November 28, 2002"
Jazz Jackrabbit,"Epic MegaGames, Arjan Brussee",Epic MegaGames,"Side-scrolling shooter, platform","Microsoft Windows, MS-DOS","July 30, 1994"
Jazz Jackrabbit 2,"Orange Games, Epic MegaGames",Gathering of Developers,"Side-scrolling shooter, platform","Microsoft Windows, macOS","April 13, 1998"
Judge Dredd: Dredd vs. Death,Rebellion Developments,"Sierra Entertainment, BAM! Entertainment",First-person shooter,Microsoft Windows,"October 17, 2003"
Judgment,Ryu Ga Gotoku Studio,SEGA,Action-adventure,Microsoft Windows,"September 14, 2022"
Juiced 2: Hot Import Nights,Paradigm Entertainment,THQ,Racing,Microsoft Windows,"November 16, 2007"
Jurassic Park,Ocean Software,Ocean Software,Action,"Amiga, DOS",October 1993
Jurassic Park III: Danger Zone!,Knowledge Adventure,Knowledge Adventure,"Action, adventure",Microsoft Windows,"June 29, 2001"
Jurassic Park III: Dino Defender,Knowledge Adventure,Knowledge Adventure,"Side-scrolling, action","Microsoft Windows, macOS","June 29, 2001"
Jurassic Park: The Game,Telltale Games,Telltale Games,Graphic adventure,"Microsoft Windows, macOS","November 15, 2011"
Just Cause,Avalanche Studios,Eidos Interactive,"Open world, action",Microsoft Windows,"September 22, 2006"
Just Cause 2,Avalanche Studios,Eidos Interactive,"Open world, action",Microsoft Windows,"March 23, 2010"
Just Cause 3,Avalanche Studios,Square Enix,"Open world, action",Microsoft Windows,"December 1, 2015"
Just Cause 4,Avalanche Studios,Square Enix,"Open world, action",Microsoft Windows,"December 4, 2018"
Katawa Shoujo,Four Leaf Studios,Four Leaf Studios,"Visual novel, dating sim","Microsoft Windows, Linux, macOS","January 24, 2012"
Kenshi,Lo-Fi Games,Lo-Fi Games,Role-playing video game,Microsoft Windows,"December 6, 2018"
Kentucky Route Zero,Cardboard Computer,Cardboard Computer,Adventure,"Microsoft Windows, Linux, macOS","January 7, 2013"
Kerbal Space Program,Squad,Squad,Sandbox,"Microsoft Windows, Linux, macOS","June 24, 2011"
Killing Floor,Tripwire Interactive,Tripwire Interactive,First-person shooter,"Microsoft Windows, Linux, macOS","May 14, 2009"
Killing Floor 2,Tripwire Interactive,Tripwire Interactive,First-person shooter,"Microsoft Windows, Linux, macOS","November 18, 2016"
Kingdom: New Lands,Noio,Raw Fury,"Strategy, Adventure","Microsoft Windows, Linux, macOS","August 9, 2016"
Kingdoms of Amalur: Reckoning,"38 Studios, Big Huge Games","38 Studios, Electronic Arts","Action role-playing, hack and slash",Microsoft Windows,"February 7, 2012"
King Arthur: The Role-Playing Wargame,NeocoreGames,Paradox Interactive,"Turn-based strategy, real-time tactics",Microsoft Windows,"November 25, 2009"
King Arthur II: The Role-Playing Wargame,NeocoreGames,Paradox Interactive,"Turn-based strategy, real-time tactics",Microsoft Windows,"January 27, 2012"
kkrieger,.theprodukkt,.theprodukkt,First-person shooter,Microsoft Windows,"April 30, 2004"
Knights and Merchants: The Shattered Kingdom,Joymania Entertainment,"TopWare Interactive, Interactive Magic",RTS,"Microsoft Windows, Linux","September 18, 1998"
L.A. Noire,Team Bondi,Rockstar Games,Action-adventure,Microsoft Windows,"May 17, 2011"
Lands of Lore: Guardians of Destiny,Westwood Studios,Virgin Interactive,RPG,"MS-DOS, Microsoft Windows","September 30, 1997"
Lands of Lore: The Throne of Chaos,Westwood Studios,Virgin Interactive,RPG,"MS-DOS, PC-98",1993
Lands of Lore III,Westwood Studios,Electronic Arts,RPG,Microsoft Windows,"March 3, 1999"
Lara Croft and the Guardian of Light,Crystal Dynamics,Square Enix,Action-adventure,Microsoft Windows,"August 18, 2010"
Lara Croft and the Temple of Osiris,Crystal Dynamics,Square Enix,Action-adventure,Microsoft Windows,"December 8, 2014"
Layers of Fear,Bloober Team,Aspyr,Survival horror,"Microsoft Windows, Linux, macOS","February 16, 2016"
League of Legends,Riot Games,Riot Games,MOBA,"Microsoft Windows, macOS","October 27, 2009"
Legends of Callasia,Boomzap Entertainment,Boomzap Entertainment,Turn-based strategy,"Microsoft Windows, macOS","June 10, 2016"
Lego Batman: The Videogame,Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive",Action-adventure,"Microsoft Windows, macOS","September 23, 2008"
Lego Batman 2: DC Super Heroes,Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive",Action-adventure,"Microsoft Windows, macOS","June 23, 2012"
Lego Batman 3: Beyond Gotham,Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive",Action-adventure,"Microsoft Windows, macOS","November 11, 2014"
Lego Rock Raiders,Data Design Interactive,Lego Media,"Real-time strategy, action",Microsoft Windows,"November 15, 1999"
Lego Star Wars: The Video Game,Traveller's Tales,Eidos Interactive,Action-adventure,"Microsoft Windows, OS X","March 29, 2005"
Leisure Suit Larry series,"Sierra Entertainment, High Voltage Software, Team17, Replay Games","Sierra Entertainment, Codemasters, Replay Games",Graphic adventure,"MS-DOS, Microsoft Windows, Linux, macOS","June 5, 1987"
Lightning Returns: Final Fantasy XIII,Square Enix,Square Enix,Role-playing,Microsoft Windows,"December 10, 2015"
Lineage,NCSOFT,NCSOFT,MMORPG,"Microsoft Windows, Mac OS X","September 3, 1998"
Lobotomy Corporation,Project Moon,Project Moon,"Management simulation, indie",Microsoft Windows,"April 9, 2018"
London Taxi: Rush Hour,Data Design Interactive,Metro3D Europe,Driving,Microsoft Windows,"June 23, 2006"
Lost Judgment,Ryu Ga Gotoku Studio,SEGA,Action-adventure,Microsoft Windows,"September 14, 2022"
Lovely Planet,QUICKTEQUILA,tinyBuild,"First-person shooter, indie","Microsoft Windows, Linux, macOS","July 31, 2014"
Luftrausers,Vlambeer,Devolver Digital,Shoot 'em Up,"Microsoft Windows, macOS, Linux","March 18, 2014"
M.U.D. TV,Realmforge Studios,Kalypso Media,Business simulation,Microsoft Windows,"February 23, 2010"
M.U.G.E.N,ElecByte,ElecByte,Fighting,"MS-DOS, Microsoft Windows, Linux, macOS","July 17, 1999"
M1 Tank Platoon,MPS Labs,MicroProse,"Simulation, real-time tactics","Amiga, Atari ST, MS-DOS",1989
M1 Tank Platoon II,MicroProse,MicroProse,"Simulation, real-time tactics",Microsoft Windows,"February 28, 1998"
Magicka,Arrowhead Game Studios,Paradox Interactive,"Fantasy, action-adventure",Microsoft Windows,"January 25, 2011"
Mass Effect,BioWare Corporation,Electronic Arts,"RPG, Action, science fiction",Microsoft Windows,"November 20, 2007"
Mass Effect 2,BioWare Corporation,Electronic Arts,"RPG, action, science fiction",Microsoft Windows,"January 26, 2010"
Mass Effect 3,BioWare Corporation,Electronic Arts,"RPG, action, science fiction",Microsoft Windows,"March 6, 2012"
Max Payne,Remedy Entertainment,"Gathering of Developers, Rockstar Games, MacSoft, Feral Interactive",Third-person shooter,"Microsoft Windows, macOS","July 23, 2001"
Max Payne 2: The Fall of Max Payne,Remedy Entertainment,Rockstar Games,Third-person shooter,Microsoft Windows,"October 14, 2003"
MDK,Shiny Entertainment,"PIE, Interplay Entertainment",Third-person shooter,"Microsoft Windows, MS-DOS, macOS","November 21, 1997"
MDK2,BioWare,Interplay Entertainment,"Third-person shooter, action-adventure",Microsoft Windows,"March 31, 2000"
Mechwarrior Online,Piranha Games,Piranha Games,"Vehicular combat, action",Microsoft Windows,"September 17, 2013"
Medal of Honor,"DICE, Danger Close Games",Electronic Arts,First-person shooter,Microsoft Windows,"October 8, 2010"
Medal of Honor: Warfighter,Danger Close Games,Electronic Arts,First-person shooter,Microsoft Windows,"October 23, 2012"
Medieval: Total War,The Creative Assembly,Activision,Turn-based strategy,Microsoft Windows,"August 20, 2002"
Medieval II: Total War,The Creative Assembly,Sega,Turn-based strategy,Microsoft Windows,"November 11, 2006"
MegaRace,Cryo Interactive,The Software Toolworks,Racing video game,MS-DOS,1993
MegaRace 2,Cryo Interactive,Mindscape,Racing video game,"MS-DOS, macOS",1996
MegaRace 3,Cryo Interactive,"Cryo Interactive, DreamCatcher Interactive",Racing video game,Microsoft Windows,"January 9, 2002"
Metal Gear,Konami,Konami,"Action-adventure, stealth","MSX2, MS-DOS","July 7, 1987"
Metal Gear 2: Solid Snake,Konami,Konami,"Action-adventure, stealth",MSX2,"July 20, 1990"
Metal Gear Rising: Revengeance,PlatinumGames,Konami,"Action, hack and slash",Microsoft Windows,"January 9, 2014"
Metal Gear Solid,"KCEJ, Digital Dialect","Konami, Microsoft Game Studios","Action-adventure, stealth",Microsoft Windows,"September 3, 1998"
Metal Gear Solid 2: Substance,"KCEJ, Success",Konami,"Action-adventure, stealth",Microsoft Windows,"March 27, 2003"
Metal Gear Solid V: Ground Zeroes,Kojima Productions,Konami,"Action-adventure, stealth",Microsoft Windows,"September 1, 2015"
Metal Gear Solid V: The Phantom Pain,Kojima Productions,Konami,"Action-adventure, stealth",Microsoft Windows,"September 1, 2015"
Metro 2033,4A Games,"Deep Silver, THQ","Post-apocalyptic, FPS","Microsoft Windows, Linux","March 16, 2010"
Metro: Last Light,4A Games,"Spike Chunsoft, Deep Silver","Post-apocalyptic, FPS","Microsoft Windows, Linux, macOS","May 14, 2013"
Middle-earth: Shadow of Mordor,Monolith,Warner Bros.,Action-adventure,"Microsoft Windows, Linux, macOS","September 30, 2014"
Might & Magic X: Legacy,Limbic Entertainment,Ubisoft,"RPG, action RPG",Microsoft Windows,"January 23, 2014"
Might and Magic VI,New World Computing,3DO,"RPG, action RPG",Microsoft Windows,"April 30, 1998"
Might and Magic VII,New World Computing,3DO,"RPG, action RPG",Microsoft Windows,"May 15, 1999"
A Mind Forever Voyaging,Infocom,Infocom,Interactive fiction,"Amiga, Apple II series, Atari ST, Commodore 128, MS-DOS, macOS","August 14, 1985"
Minecraft,Mojang,Mojang,Sandbox,"Microsoft Windows, Linux, macOS, Raspberry Pi","November 18, 2011"
Minecraft: Story Mode,Mojang,Mojang,Graphic adventure,"Microsoft Windows, macOS","October 13, 2015"
Mirror's Edge,EA Digital Illusions CE,Electronic Arts,"First-person action-adventure, platform",Microsoft Windows,"November 12, 2008"
Monaco: What's Yours Is Mine,Pocketwatch Games,Majesco Entertainment,"Action, stealth","Microsoft Windows, Linux, macOS","April 24, 2013"
Mortal Kombat (2011),"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment.,Fighting,Microsoft Windows,"April 19, 2011"
Mortal Kombat X,"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment.,Fighting,Microsoft Windows,"April 13, 2015"
Mortal Kombat 11,"NetherRealm Studios, QLOC",Warner Bros. Interactive Entertainment.,Fighting,Microsoft Windows,"April 23, 2019"
Mount & Blade,TaleWorlds Entertainment,Paradox Interactive,Action RPG,Microsoft Windows,"September 16, 2008"
Mount & Blade: Warband,TaleWorlds Entertainment,Paradox Interactive,"Action RPG, strategy","Microsoft Windows, Linux, macOS","March 30, 2010"
Mount & Blade: With Fire & Sword,TaleWorlds Entertainment,Paradox Interactive,"Action RPG, strategy",Microsoft Windows,"May 3, 2011"
MouseCraft,Crunching Koalas,Crunching Koalas,Puzzle,"Microsoft Windows, Linux, macOS","June 9, 2014"
MVP Baseball 2005,EA Canada,Electronic Arts,Sports,Microsoft Windows,"February 22, 2005"
Myst,Cyan,Brøderbund,Adventure,"Mac OS, Microsoft Windows",1994
Myth Makers: Super Kart GP,Data Design Interactive,Phoenix Games,Racing video game,Microsoft Windows,"January 1, 2006"
Myth Makers: Trixie in Toyland,Data Design Interactive,Metro3D Europe,Platformer,Microsoft Windows,"August 19, 2005"
Napoleon: Total War,"The Creative Assembly, Feral Interactive","Sega, Typhoon Games, Feral Interactive",Turn-based strategy,Microsoft Windows,"February 23, 2010"
Natural Selection 2,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"First-person shooter, RTS","Microsoft Windows, Linux","October 30, 2012"
NBA 2K10,Visual Concepts,2K Sports,Sports,Microsoft Windows,"October 12, 2009"
NBA 2K11,Visual Concepts,2K Sports,Sports,Microsoft Windows,"October 5, 2010"
NBA 2K12,Visual Concepts,2K Sports,Sports,Microsoft Windows,"October 4, 2011"
NBA 2K13,Visual Concepts,2K Sports,Sports,Microsoft Windows,"October 2, 2012"
NBA 2K14,Visual Concepts,2K Sports,Sports,Microsoft Windows,"November 15, 2013"
NBA 2K15,Visual Concepts,2K Sports,Sports,Microsoft Windows,"October 7, 2014"
NBA 2K16,Visual Concepts,2K Sports,Sports,Microsoft Windows,"September 29, 2016"
NBA 2K17,Visual Concepts,2K Sports,Sports,Microsoft Windows,"September 20, 2016"
NBA 2K18,Visual Concepts,2K Sports,Sports,Microsoft Windows,"September 19, 2017"
NBA 2K9,Visual Concepts,2K Sports,Sports,Microsoft Windows,"October 7, 2008"
NBA Hangtime,"Midway, Funcom",Midway,Sports,Microsoft Windows,"December 31, 1996"
NBA Inside Drive,Microsoft Studios,Microsoft Studios,Sports,Microsoft Windows,"August 17, 2000"
NBA Jam Extreme,Sculptured Software,Acclaim,Sports,Microsoft Windows,"January 31, 1997"
NBA Live 2000,EA Canada,Electronic Arts,Sports,Microsoft Windows,"October 31, 1990"
NBA Live 2001,Electronic Arts,Electronic Arts,Sports,Microsoft Windows,"February 7, 2001"
NBA Live 2003,EA Canada,EA Sports,Sports,Microsoft Windows,"October 8, 2002"
NBA Live 2004,EA Canada,Electronic Arts,Sports,Microsoft Windows,"October 15, 2003"
NBA Live 2005,EA Canada,Electronic Arts,Sports,Microsoft Windows,"September 28, 2004"
NBA Live 06,EA Canada,EA Sports,Sports,Microsoft Windows,"October 4, 2005"
NBA Live 07,EA Canada,EA Sports,Sports,Microsoft Windows,"November 15, 2006"
NBA Live 99,EA Canada,EA Sports,Sports,Microsoft Windows,"October 31, 1998"
NBA Playgrounds,Saber Interactive,Mad Dog Games,Sports,Microsoft Windows,"May 9, 2017"
Need for Speed,Pioneer Productions,Electronic Arts,Racing,MS-DOS,"August 31, 1994"
Need for Speed II,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,"March 31, 1997"
Need for Speed III: Hot Pursuit,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,"March 25, 1998"
Need for Speed: High Stakes,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,"March 8, 1999"
Need for Speed: Hot Pursuit 2,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,"October 2, 2002"
Need for Speed: Porsche Unleashed,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,"February 29, 2000"
Need for Speed: Underground,EA Black Box,Electronic Arts,Racing,Microsoft Windows,"October 2, 2002"
Neighbours from Hell,JoWooD Vienna,JoWooD Productions,Puzzle,Microsoft Windows,"June 20, 2003"
Neighbours from Hell 2: On Vacation,JoWooD Vienna,JoWooD Productions,Puzzle,Microsoft Windows,"May 5, 2004"
Nether: Resurrected,Phosphor Games Studio,"Nether Productions, LLC","Survival Horror, Open World, Action",Microsoft Windows,"October 28, 2013"
The Neverhood,"The Neverhood, Inc.",DreamWorks Interactive,Point-and-click adventure game,Microsoft Windows,"October 31, 1996"
Neverwinter Nights,BioWare,"Infogrames, MacSoft",Role-playing,"Microsoft Windows, Linux, macOS","June 18, 2002"
Neverwinter Nights 2,Obsidian Entertainment,Atari,RPG,"Microsoft Windows, macOS","October 31, 2006"
Neverwinter Nights 2: Mask of the Betrayer,Obsidian Entertainment,Atari,RPG,"Microsoft Windows, macOS","October 9, 2007"
Neverwinter Nights 2: Mysteries of Westgate,Obsidian Entertainment,Atari,RPG,"Microsoft Windows, macOS","April 29, 2009"
Neverwinter Nights 2: Storm of Zehir,Obsidian Entertainment,Atari,RPG,"Microsoft Windows, macOS","November 18, 2008"
Neverwinter Nights: Hordes of the Underdark,BioWare,"Atari, MacSoft",Role-playing,"Microsoft Windows, Linux, macOS","December 2, 2003"
Neverwinter Nights: Shadows of Undrentide,"BioWare, Floodgate Entertainment","Atari, MacSoft",Role-playing,"Microsoft Windows, Linux, macOS","June 21, 2003"
Next Car Game: Wreckfest,Bugbear Entertainment,Bugbear Entertainment,"Racing, destruction",Microsoft Windows,"June 14, 2018"
Nickelodeon Party Blast,Data Design Interactive,Infogrames,Party,Microsoft Windows,"October 30, 2002"
Nier: Automata,PlatinumGames,Square Enix,Action role-playing,Microsoft Windows,"March 17, 2017"
Night in the Woods,Infinite Fall,Finji,Adventure,"Microsoft Windows, Linux, macOS","February 21, 2017"
Ninjabread Man,Data Design Interactive,Metro3D Europe,Platformer,Microsoft Windows,"July 23, 2005"
Nioh,Team Ninja,"Koei Tecmo, Sony Interactive Entertainment",Action role-playing,Microsoft Windows,"November 7, 2017"
No Man's Sky,Hello Games,Hello Games,Action-adventure,Microsoft Windows,"August 9, 2016"
No More Room in Hell,Matt Kazan,Steam,Survival horror,"Microsoft Windows, Linux, macOS","October 31, 2013"
OneShot,Liitle Cat Feet,Degica,"Adventure, Puzzle",Microsoft Windows,"December 8, 2016"
Operation Flashpoint: Cold War Crisis,Bohemia Interactive,Codemasters,Tactical shooter,Microsoft Windows,"June 22, 2001"
Operation Flashpoint: Resistance,Bohemia Interactive,Codemasters,Tactical shooter,Microsoft Windows,"July 10, 2002"
Orcs Must Die 2,Robot Entertainment,Robot Entertainment,"Action, Tower Defense",Microsoft Windows,"July 30, 2012"
Order of War,Wargaming,Square Enix,Strategy,Microsoft Windows,"September 22, 2009"
Ori and the Blind Forest,Moon Studios,Microsoft Studios,Platform,Microsoft Windows,"March 11, 2015"
Ori and the Will of the Wisps,Moon Studios,Xbox Game Studios,Platform,Microsoft Windows,"March 11, 2020"
osu!,Dean Herbert,PPY Developments PTY,"Rhythm, music","Microsoft Windows, macOS","September 16, 2007"
Out of the Park Baseball,Sports Interactive,Sports Interactive,Sports,Microsoft Windows,"March 26, 2006"
Outcast,Appeal,Infogrames,"Adventure, Action",Microsoft Windows,"August 31, 1999"
Outlast,Red Barrels,Red Barrels,Action,"Microsoft Windows, Linux, macOS","September 4, 2013"
Overgrowth,Wolfire Games,Wolfire Games,Action,"Microsoft Windows, Linux, macOS","September 17, 2008"
Overwatch,Blizzard Entertainment,Blizzard Entertainment,Action,Microsoft Windows,"May 24, 2016"
Oxenfree,Night School Studio,Night School Studio,Graphic adventure,"Microsoft Windows, Linux, macOS","January 15, 2016"
"Papers, Please",3909 LLC,3909 LLC,"Puzzle, simulation","Microsoft Windows, Linux, macOS","August 8, 2013"
ParaWorld,SEK,Sunflowers,Real-time strategy,Microsoft Windows,"September 15, 2006"
Path of Exile,Grinding Gear Games,Grinding Gear Games,Action RPG,Microsoft Windows,"October 23, 2013"
Payday: The Heist,Overkill Software,Sony Online Entertainment,First-person shooter,Microsoft Windows,"October 18, 2011"
Payday 2,Overkill Software,505 Games,First-person shooter,Microsoft Windows,"August 13, 2013"
Penumbra: Black Plague,Frictional Games,Paradox Interactive,Survival horror,"Microsoft Windows, Linux, macOS","February 12, 2008"
Penumbra: Overture,Frictional Games,Frictional Games,Survival horror,"Microsoft Windows, Linux, macOS","March 30, 2007"
Penumbra: Requiem,Frictional Games,Paradox Interactive,Survival horror,"Microsoft Windows, Linux, macOS","August 27, 2008"
Persona 4 Golden,Atlus,Sega,"Role-playing, social simulation",Microsoft Windows,"June 13, 2020"
Phantom Doctrine,CreativeForge Games,Good Shepherd Entertainment,Strategy,Windows,"August 14, 2018"
Pillars of Eternity,Obsidian Entertainment,Paradox Interactive,Role-playing,"Microsoft Windows, Linux, macOS","March 26, 2015"
Pixel Piracy,Quadro Delta,Re-Logic,Action-adventure,"Microsoft Windows, Linux, OS X","February 16, 2016"
